filename,modulation,phase_noise,iq_imbalance,interference,snr_range
img_00182.png,4-ASK,High,Low,Medium,High
img_00183.png,4-ASK,High,Low,High,High
img_00184.png,4-ASK,High,Medium,None,High
img_00185.png,4-ASK,High,Medium,Low,High
img_00186.png,4-ASK,High,Medium,Medium,High
img_00187.png,4-ASK,High,Medium,High,High
img_00188.png,4-ASK,High,High,None,High
img_00189.png,4-ASK,High,High,Low,High
img_00190.png,4-ASK,High,High,Medium,High
img_00191.png,4-ASK,High,High,High,High
img_00192.png,8-ASK,None,None,None,Low
img_00193.png,8-ASK,None,None,Low,Low
img_00194.png,8-ASK,None,None,Medium,Low
img_00195.png,8-ASK,None,None,High,Low
img_00196.png,8-ASK,None,Low,None,Low
img_00197.png,8-ASK,None,Low,Low,Low
img_00198.png,8-ASK,None,Low,Medium,Low
img_00199.png,8-ASK,None,Low,High,Low
img_00200.png,8-ASK,None,Medium,None,Low
img_00201.png,8-ASK,None,Medium,Low,Low
img_00202.png,8-ASK,None,Medium,Medium,Low
img_00203.png,8-ASK,None,Medium,High,Low
img_00204.png,8-ASK,None,High,None,Low
img_00205.png,8-ASK,None,High,Low,Low
img_00206.png,8-ASK,None,High,Medium,Low
img_00207.png,8-ASK,None,High,High,Low
img_00208.png,8-ASK,Low,None,None,Low
img_00209.png,8-ASK,Low,None,Low,Low
img_00210.png,8-ASK,Low,None,Medium,Low
img_00211.png,8-ASK,Low,None,High,Low
img_00212.png,8-ASK,Low,Low,None,Low
img_00213.png,8-ASK,Low,Low,Low,Low
img_00214.png,8-ASK,Low,Low,Medium,Low
img_00215.png,8-ASK,Low,Low,High,Low
img_00216.png,8-ASK,Low,Medium,None,Low
img_00217.png,8-ASK,Low,Medium,Low,Low
img_00218.png,8-ASK,Low,Medium,Medium,Low
img_00219.png,8-ASK,Low,Medium,High,Low
img_00220.png,8-ASK,Low,High,None,Low
img_00221.png,8-ASK,Low,High,Low,Low
img_00222.png,8-ASK,Low,High,Medium,Low
img_00223.png,8-ASK,Low,High,High,Low
img_00224.png,8-ASK,Medium,None,None,Low
img_00225.png,8-ASK,Medium,None,Low,Low
img_00226.png,8-ASK,Medium,None,Medium,Low
img_00227.png,8-ASK,Medium,None,High,Low
img_00228.png,8-ASK,Medium,Low,None,Low
img_00229.png,8-ASK,Medium,Low,Low,Low
img_00230.png,8-ASK,Medium,Low,Medium,Low
img_00231.png,8-ASK,Medium,Low,High,Low
img_00232.png,8-ASK,Medium,Medium,None,Low
img_00233.png,8-ASK,Medium,Medium,Low,Low
img_00234.png,8-ASK,Medium,Medium,Medium,Low
img_00235.png,8-ASK,Medium,Medium,High,Low
img_00236.png,8-ASK,Medium,High,None,Low
img_00237.png,8-ASK,Medium,High,Low,Low
img_00238.png,8-ASK,Medium,High,Medium,Low
img_00239.png,8-ASK,Medium,High,High,Low
img_00240.png,8-ASK,High,None,None,Low
img_00241.png,8-ASK,High,None,Low,Low
img_00242.png,8-ASK,High,None,Medium,Low
img_00243.png,8-ASK,High,None,High,Low
img_00244.png,8-ASK,High,Low,None,Low
img_00245.png,8-ASK,High,Low,Low,Low
img_00246.png,8-ASK,High,Low,Medium,Low
img_00247.png,8-ASK,High,Low,High,Low
img_00248.png,8-ASK,High,Medium,None,Low
img_00249.png,8-ASK,High,Medium,Low,Low
img_00250.png,8-ASK,High,Medium,Medium,Low
img_00251.png,8-ASK,High,Medium,High,Low
img_00252.png,8-ASK,High,High,None,Low
img_00253.png,8-ASK,High,High,Low,Low
img_00254.png,8-ASK,High,High,Medium,Low
img_00255.png,8-ASK,High,High,High,Low
img_00256.png,8-ASK,None,None,None,Medium
img_00257.png,8-ASK,None,None,Low,Medium
img_00258.png,8-ASK,None,None,Medium,Medium
img_00259.png,8-ASK,None,None,High,Medium
img_00260.png,8-ASK,None,Low,None,Medium
img_00261.png,8-ASK,None,Low,Low,Medium
img_00262.png,8-ASK,None,Low,Medium,Medium
img_00263.png,8-ASK,None,Low,High,Medium
img_00264.png,8-ASK,None,Medium,None,Medium
img_00265.png,8-ASK,None,Medium,Low,Medium
img_00266.png,8-ASK,None,Medium,Medium,Medium
img_00267.png,8-ASK,None,Medium,High,Medium
img_00268.png,8-ASK,None,High,None,Medium
img_00269.png,8-ASK,None,High,Low,Medium
img_00270.png,8-ASK,None,High,Medium,Medium
img_00271.png,8-ASK,None,High,High,Medium
img_00272.png,8-ASK,Low,None,None,Medium
img_00273.png,8-ASK,Low,None,Low,Medium
img_00274.png,8-ASK,Low,None,Medium,Medium
img_00275.png,8-ASK,Low,None,High,Medium
img_00276.png,8-ASK,Low,Low,None,Medium
img_00277.png,8-ASK,Low,Low,Low,Medium
img_00278.png,8-ASK,Low,Low,Medium,Medium
img_00279.png,8-ASK,Low,Low,High,Medium
img_00280.png,8-ASK,Low,Medium,None,Medium
img_00281.png,8-ASK,Low,Medium,Low,Medium
img_00282.png,8-ASK,Low,Medium,Medium,Medium
img_00283.png,8-ASK,Low,Medium,High,Medium
img_00284.png,8-ASK,Low,High,None,Medium
img_00285.png,8-ASK,Low,High,Low,Medium
img_00286.png,8-ASK,Low,High,Medium,Medium
img_00287.png,8-ASK,Low,High,High,Medium
img_00288.png,8-ASK,Medium,None,None,Medium
img_00289.png,8-ASK,Medium,None,Low,Medium
img_00290.png,8-ASK,Medium,None,Medium,Medium
img_00291.png,8-ASK,Medium,None,High,Medium
img_00292.png,8-ASK,Medium,Low,None,Medium
img_00293.png,8-ASK,Medium,Low,Low,Medium
img_00294.png,8-ASK,Medium,Low,Medium,Medium
img_00295.png,8-ASK,Medium,Low,High,Medium
img_00296.png,8-ASK,Medium,Medium,None,Medium
img_00297.png,8-ASK,Medium,Medium,Low,Medium
img_00298.png,8-ASK,Medium,Medium,Medium,Medium
img_00299.png,8-ASK,Medium,Medium,High,Medium
img_00300.png,8-ASK,Medium,High,None,Medium
img_00301.png,8-ASK,Medium,High,Low,Medium
img_00302.png,8-ASK,Medium,High,Medium,Medium
img_00303.png,8-ASK,Medium,High,High,Medium
img_00304.png,8-ASK,High,None,None,Medium
img_00305.png,8-ASK,High,None,Low,Medium
img_00306.png,8-ASK,High,None,Medium,Medium
img_00307.png,8-ASK,High,None,High,Medium
img_00308.png,8-ASK,High,Low,None,Medium
img_00309.png,8-ASK,High,Low,Low,Medium
img_00310.png,8-ASK,High,Low,Medium,Medium
img_00311.png,8-ASK,High,Low,High,Medium
img_00312.png,8-ASK,High,Medium,None,Medium
img_00313.png,8-ASK,High,Medium,Low,Medium
img_00314.png,8-ASK,High,Medium,Medium,Medium
img_00315.png,8-ASK,High,Medium,High,Medium
img_00316.png,8-ASK,High,High,None,Medium
img_00317.png,8-ASK,High,High,Low,Medium
img_00318.png,8-ASK,High,High,Medium,Medium
img_00319.png,8-ASK,High,High,High,Medium
img_00320.png,8-ASK,None,None,None,High
img_00321.png,8-ASK,None,None,Low,High
img_00322.png,8-ASK,None,None,Medium,High
img_00323.png,8-ASK,None,None,High,High
img_00324.png,8-ASK,None,Low,None,High
img_00325.png,8-ASK,None,Low,Low,High
img_00326.png,8-ASK,None,Low,Medium,High
img_00327.png,8-ASK,None,Low,High,High
img_00328.png,8-ASK,None,Medium,None,High
img_00329.png,8-ASK,None,Medium,Low,High
img_00330.png,8-ASK,None,Medium,Medium,High
img_00331.png,8-ASK,None,Medium,High,High
img_00332.png,8-ASK,None,High,None,High
img_00333.png,8-ASK,None,High,Low,High
img_00334.png,8-ASK,None,High,Medium,High
img_00335.png,8-ASK,None,High,High,High
img_00336.png,8-ASK,Low,None,None,High
img_00337.png,8-ASK,Low,None,Low,High
img_00338.png,8-ASK,Low,None,Medium,High
img_00339.png,8-ASK,Low,None,High,High
img_00340.png,8-ASK,Low,Low,None,High
img_00341.png,8-ASK,Low,Low,Low,High
img_00342.png,8-ASK,Low,Low,Medium,High
img_00343.png,8-ASK,Low,Low,High,High
img_00344.png,8-ASK,Low,Medium,None,High
img_00345.png,8-ASK,Low,Medium,Low,High
img_00346.png,8-ASK,Low,Medium,Medium,High
img_00347.png,8-ASK,Low,Medium,High,High
img_00348.png,8-ASK,Low,High,None,High
img_00349.png,8-ASK,Low,High,Low,High
img_00350.png,8-ASK,Low,High,Medium,High
img_00351.png,8-ASK,Low,High,High,High
img_00352.png,8-ASK,Medium,None,None,High
img_00353.png,8-ASK,Medium,None,Low,High
img_00354.png,8-ASK,Medium,None,Medium,High
img_00355.png,8-ASK,Medium,None,High,High
img_00356.png,8-ASK,Medium,Low,None,High
img_00357.png,8-ASK,Medium,Low,Low,High
img_00358.png,8-ASK,Medium,Low,Medium,High
img_00359.png,8-ASK,Medium,Low,High,High
img_00360.png,8-ASK,Medium,Medium,None,High
img_00361.png,8-ASK,Medium,Medium,Low,High
img_00362.png,8-ASK,Medium,Medium,Medium,High
img_00363.png,8-ASK,Medium,Medium,High,High
img_00364.png,8-ASK,Medium,High,None,High
img_00365.png,8-ASK,Medium,High,Low,High
img_00366.png,8-ASK,Medium,High,Medium,High
img_00367.png,8-ASK,Medium,High,High,High
img_00368.png,8-ASK,High,None,None,High
img_00369.png,8-ASK,High,None,Low,High
img_00370.png,8-ASK,High,None,Medium,High
img_00371.png,8-ASK,High,None,High,High
img_00372.png,8-ASK,High,Low,None,High
img_00373.png,8-ASK,High,Low,Low,High
img_00374.png,8-ASK,High,Low,Medium,High
img_00375.png,8-ASK,High,Low,High,High
img_00376.png,8-ASK,High,Medium,None,High
img_00377.png,8-ASK,High,Medium,Low,High
img_00378.png,8-ASK,High,Medium,Medium,High
img_00379.png,8-ASK,High,Medium,High,High
img_00380.png,8-ASK,High,High,None,High
img_00381.png,8-ASK,High,High,Low,High
img_00382.png,8-ASK,High,High,Medium,High
img_00383.png,8-ASK,High,High,High,High
img_00384.png,BPSK,None,None,None,Low
img_00385.png,BPSK,None,None,Low,Low
img_00386.png,BPSK,None,None,Medium,Low
img_00387.png,BPSK,None,None,High,Low
img_00388.png,BPSK,None,Low,None,Low
img_00389.png,BPSK,None,Low,Low,Low
img_00390.png,BPSK,None,Low,Medium,Low
img_00391.png,BPSK,None,Low,High,Low
img_00392.png,BPSK,None,Medium,None,Low
img_00393.png,BPSK,None,Medium,Low,Low
img_00394.png,BPSK,None,Medium,Medium,Low
img_00395.png,BPSK,None,Medium,High,Low
img_00396.png,BPSK,None,High,None,Low
img_00397.png,BPSK,None,High,Low,Low
img_00398.png,BPSK,None,High,Medium,Low
img_00399.png,BPSK,None,High,High,Low
img_00400.png,BPSK,Low,None,None,Low
img_00401.png,BPSK,Low,None,Low,Low
img_00402.png,BPSK,Low,None,Medium,Low
img_00403.png,BPSK,Low,None,High,Low
img_00404.png,BPSK,Low,Low,None,Low
img_00405.png,BPSK,Low,Low,Low,Low
img_00406.png,BPSK,Low,Low,Medium,Low
img_00407.png,BPSK,Low,Low,High,Low
img_00408.png,BPSK,Low,Medium,None,Low
img_00409.png,BPSK,Low,Medium,Low,Low
img_00410.png,BPSK,Low,Medium,Medium,Low
img_00411.png,BPSK,Low,Medium,High,Low
img_00412.png,BPSK,Low,High,None,Low
img_00413.png,BPSK,Low,High,Low,Low
img_00414.png,BPSK,Low,High,Medium,Low
img_00415.png,BPSK,Low,High,High,Low
img_00416.png,BPSK,Medium,None,None,Low
img_00417.png,BPSK,Medium,None,Low,Low
img_00418.png,BPSK,Medium,None,Medium,Low
img_00419.png,BPSK,Medium,None,High,Low
img_00420.png,BPSK,Medium,Low,None,Low
img_00421.png,BPSK,Medium,Low,Low,Low
img_00422.png,BPSK,Medium,Low,Medium,Low
img_00423.png,BPSK,Medium,Low,High,Low
img_00424.png,BPSK,Medium,Medium,None,Low
img_00425.png,BPSK,Medium,Medium,Low,Low
img_00426.png,BPSK,Medium,Medium,Medium,Low
img_00427.png,BPSK,Medium,Medium,High,Low
img_00428.png,BPSK,Medium,High,None,Low
img_00429.png,BPSK,Medium,High,Low,Low
img_00430.png,BPSK,Medium,High,Medium,Low
img_00431.png,BPSK,Medium,High,High,Low
img_00432.png,BPSK,High,None,None,Low
img_00433.png,BPSK,High,None,Low,Low
img_00434.png,BPSK,High,None,Medium,Low
img_00435.png,BPSK,High,None,High,Low
img_00436.png,BPSK,High,Low,None,Low
img_00437.png,BPSK,High,Low,Low,Low
img_00438.png,BPSK,High,Low,Medium,Low
img_00439.png,BPSK,High,Low,High,Low
img_00440.png,BPSK,High,Medium,None,Low
img_00441.png,BPSK,High,Medium,Low,Low
img_00442.png,BPSK,High,Medium,Medium,Low
img_00443.png,BPSK,High,Medium,High,Low
img_00444.png,BPSK,High,High,None,Low
img_00445.png,BPSK,High,High,Low,Low
img_00446.png,BPSK,High,High,Medium,Low
img_00447.png,BPSK,High,High,High,Low
img_00448.png,BPSK,None,None,None,Medium
img_00449.png,BPSK,None,None,Low,Medium
img_00450.png,BPSK,None,None,Medium,Medium
img_00451.png,BPSK,None,None,High,Medium
img_00452.png,BPSK,None,Low,None,Medium
img_00453.png,BPSK,None,Low,Low,Medium
img_00454.png,BPSK,None,Low,Medium,Medium
img_00455.png,BPSK,None,Low,High,Medium
img_00456.png,BPSK,None,Medium,None,Medium
img_00457.png,BPSK,None,Medium,Low,Medium
img_00458.png,BPSK,None,Medium,Medium,Medium
img_00459.png,BPSK,None,Medium,High,Medium
img_00460.png,BPSK,None,High,None,Medium
img_00461.png,BPSK,None,High,Low,Medium
img_00462.png,BPSK,None,High,Medium,Medium
img_00463.png,BPSK,None,High,High,Medium
img_00464.png,BPSK,Low,None,None,Medium
img_00465.png,BPSK,Low,None,Low,Medium
img_00466.png,BPSK,Low,None,Medium,Medium
img_00467.png,BPSK,Low,None,High,Medium
img_00468.png,BPSK,Low,Low,None,Medium
img_00469.png,BPSK,Low,Low,Low,Medium
img_00470.png,BPSK,Low,Low,Medium,Medium
img_00471.png,BPSK,Low,Low,High,Medium
img_00472.png,BPSK,Low,Medium,None,Medium
img_00473.png,BPSK,Low,Medium,Low,Medium
img_00474.png,BPSK,Low,Medium,Medium,Medium
img_00475.png,BPSK,Low,Medium,High,Medium
img_00476.png,BPSK,Low,High,None,Medium
img_00477.png,BPSK,Low,High,Low,Medium
img_00478.png,BPSK,Low,High,Medium,Medium
img_00479.png,BPSK,Low,High,High,Medium
img_00480.png,BPSK,Medium,None,None,Medium
img_00481.png,BPSK,Medium,None,Low,Medium
img_00482.png,BPSK,Medium,None,Medium,Medium
img_00483.png,BPSK,Medium,None,High,Medium
img_00484.png,BPSK,Medium,Low,None,Medium
img_00485.png,BPSK,Medium,Low,Low,Medium
img_00486.png,BPSK,Medium,Low,Medium,Medium
img_00487.png,BPSK,Medium,Low,High,Medium
img_00488.png,BPSK,Medium,Medium,None,Medium
img_00489.png,BPSK,Medium,Medium,Low,Medium
img_00490.png,BPSK,Medium,Medium,Medium,Medium
img_00491.png,BPSK,Medium,Medium,High,Medium
img_00492.png,BPSK,Medium,High,None,Medium
img_00493.png,BPSK,Medium,High,Low,Medium
img_00494.png,BPSK,Medium,High,Medium,Medium
img_00495.png,BPSK,Medium,High,High,Medium
img_00496.png,BPSK,High,None,None,Medium
img_00497.png,BPSK,High,None,Low,Medium
img_00498.png,BPSK,High,None,Medium,Medium
img_00499.png,BPSK,High,None,High,Medium
img_00500.png,BPSK,High,Low,None,Medium
img_00501.png,BPSK,High,Low,Low,Medium
img_00502.png,BPSK,High,Low,Medium,Medium
img_00503.png,BPSK,High,Low,High,Medium
img_00504.png,BPSK,High,Medium,None,Medium
img_00505.png,BPSK,High,Medium,Low,Medium
img_00506.png,BPSK,High,Medium,Medium,Medium
img_00507.png,BPSK,High,Medium,High,Medium
img_00508.png,BPSK,High,High,None,Medium
img_00509.png,BPSK,High,High,Low,Medium
img_00510.png,BPSK,High,High,Medium,Medium
img_00511.png,BPSK,High,High,High,Medium
img_00512.png,BPSK,None,None,None,High
img_00513.png,BPSK,None,None,Low,High
img_00514.png,BPSK,None,None,Medium,High
img_00515.png,BPSK,None,None,High,High
img_00516.png,BPSK,None,Low,None,High
img_00517.png,BPSK,None,Low,Low,High
img_00518.png,BPSK,None,Low,Medium,High
img_00519.png,BPSK,None,Low,High,High
img_00520.png,BPSK,None,Medium,None,High
img_00521.png,BPSK,None,Medium,Low,High
img_00522.png,BPSK,None,Medium,Medium,High
img_00523.png,BPSK,None,Medium,High,High
img_00524.png,BPSK,None,High,None,High
img_00525.png,BPSK,None,High,Low,High
img_00526.png,BPSK,None,High,Medium,High
img_00527.png,BPSK,None,High,High,High
img_00528.png,BPSK,Low,None,None,High
img_00529.png,BPSK,Low,None,Low,High
img_00530.png,BPSK,Low,None,Medium,High
img_00531.png,BPSK,Low,None,High,High
img_00532.png,BPSK,Low,Low,None,High
img_00533.png,BPSK,Low,Low,Low,High
img_00534.png,BPSK,Low,Low,Medium,High
img_00535.png,BPSK,Low,Low,High,High
img_00536.png,BPSK,Low,Medium,None,High
img_00537.png,BPSK,Low,Medium,Low,High
img_00538.png,BPSK,Low,Medium,Medium,High
img_00539.png,BPSK,Low,Medium,High,High
img_00540.png,BPSK,Low,High,None,High
img_00541.png,BPSK,Low,High,Low,High
img_00542.png,BPSK,Low,High,Medium,High
img_00543.png,BPSK,Low,High,High,High
img_00544.png,BPSK,Medium,None,None,High
img_00545.png,BPSK,Medium,None,Low,High
img_00546.png,BPSK,Medium,None,Medium,High
img_00547.png,BPSK,Medium,None,High,High
img_00548.png,BPSK,Medium,Low,None,High
img_00549.png,BPSK,Medium,Low,Low,High
img_00550.png,BPSK,Medium,Low,Medium,High
img_00551.png,BPSK,Medium,Low,High,High
img_00552.png,BPSK,Medium,Medium,None,High
img_00553.png,BPSK,Medium,Medium,Low,High
img_00554.png,BPSK,Medium,Medium,Medium,High
img_00555.png,BPSK,Medium,Medium,High,High
img_00556.png,BPSK,Medium,High,None,High
img_00557.png,BPSK,Medium,High,Low,High
img_00558.png,BPSK,Medium,High,Medium,High
img_00559.png,BPSK,Medium,High,High,High
img_00560.png,BPSK,High,None,None,High
img_00561.png,BPSK,High,None,Low,High
img_00562.png,BPSK,High,None,Medium,High
img_00563.png,BPSK,High,None,High,High
img_00564.png,BPSK,High,Low,None,High
img_00565.png,BPSK,High,Low,Low,High
img_00566.png,BPSK,High,Low,Medium,High
img_00567.png,BPSK,High,Low,High,High
img_00568.png,BPSK,High,Medium,None,High
img_00569.png,BPSK,High,Medium,Low,High
img_00570.png,BPSK,High,Medium,Medium,High
img_00571.png,BPSK,High,Medium,High,High
img_00572.png,BPSK,High,High,None,High
img_00573.png,BPSK,High,High,Low,High
img_00574.png,BPSK,High,High,Medium,High
img_00575.png,BPSK,High,High,High,High
img_00576.png,QPSK,None,None,None,Low
img_00577.png,QPSK,None,None,Low,Low
img_00578.png,QPSK,None,None,Medium,Low
img_00579.png,QPSK,None,None,High,Low
img_00580.png,QPSK,None,Low,None,Low
img_00581.png,QPSK,None,Low,Low,Low
img_00582.png,QPSK,None,Low,Medium,Low
